,floor,price,size,exterior,rooms,bathrooms,latitude,longitude,hasLift,priceByArea
92,2,1850.0,100.0,1,3.0,2,41.376496,2.1755762,1,19.0
93,0,1850.0,115.0,1,3.0,1,41.3994648,2.1645244,1,16.0
94,2,1650.0,102.0,1,3.0,2,41.3996986,2.1631617,1,16.0
95,2,1600.0,72.0,1,3.0,1,41.3930133,2.120321,1,22.0
96,2,850.0,58.0,0,2.0,1,41.3824912,2.1669791,0,15.0
97,3,1450.0,100.0,1,2.0,1,41.3828703,2.1721099,0,15.0
98,6,2100.0,130.0,1,3.0,2,41.4070388,2.2130225,1,16.0
99,1,900.0,75.0,1,3.0,2,41.3795615,2.1218072,0,12.0
102,1,1125.0,100.0,1,4.0,2,41.3750465,2.1628071,1,11.0
105,3,1000.0,75.0,0,2.0,1,41.4056066,2.1965665,0,13.0
107,0,2400.0,200.0,0,2.0,2,41.399856,2.1639099,0,12.0
108,3,900.0,71.0,0,2.0,1,41.372375,2.1742429,1,13.0
109,2,1200.0,140.0,0,3.0,2,41.4783669,2.2814019,0,9.0
110,6,600.0,40.0,0,1.0,1,41.3990715,2.1917243,1,15.0
111,6,700.0,50.0,0,2.0,1,41.3467663,2.1094558,1,14.0
112,1,800.0,50.0,0,1.0,1,41.4116778,2.1751669,1,16.0
113,3,3400.0,125.0,0,2.0,2,41.3874925,2.1711273,1,27.0
114,3,950.0,95.0,0,3.0,2,41.4219971,2.0158465,1,10.0
115,2,1025.0,93.0,0,3.0,2,41.4733107,2.0914556,1,11.0
116,4,1600.0,70.0,0,3.0,1,41.3936133,2.124321,1,23.0
117,2,1200.0,75.0,0,2.0,1,41.3334786,2.09257,0,16.0
118,0,3000.0,523.0,0,5.0,6,41.2296789,1.7586685,0,6.0
119,2,3200.0,207.0,1,4.0,2,41.3925631,2.1578835,1,15.0
120,1,2200.0,330.0,0,5.0,5,41.28437,1.72208,0,7.0
121,0,1800.0,110.0,0,2.0,3,41.4000763,2.2100292,0,16.0
122,3,750.0,40.0,0,2.0,1,41.4001378,2.1609901,0,19.0
124,1,700.0,50.0,0,3.0,1,41.4279374,2.1690673,0,14.0
126,2,1400.0,124.0,0,3.0,2,41.4888775,2.296487,1,11.0
127,0,1500.0,85.0,0,3.0,1,41.4019511,2.1430583,1,18.0
128,1,800.0,45.0,1,1.0,1,41.4096778,2.1747669,1,18.0
129,5,1300.0,115.0,1,4.0,2,41.4975069,2.3867308,1,11.0
130,4,950.0,90.0,1,3.0,2,41.4968724,2.3599261,1,11.0
131,2,600.0,56.0,1,3.0,1,41.4331175,2.2232403,0,11.0
132,3,1200.0,95.0,1,3.0,2,41.2705103,1.9953449,0,13.0
133,6,1300.0,70.0,1,4.0,1,41.3771969,2.1564382,1,19.0
134,0,6000.0,715.0,0,6.0,6,41.4652421,2.0814758,0,8.0
135,2,1050.0,160.0,1,4.0,2,41.2604738,1.7763012,1,7.0
136,2,850.0,87.0,1,2.0,1,41.3814321,2.131866,1,10.0
137,2,840.0,111.0,0,3.0,2,41.6435952,2.362299,1,8.0
138,3,950.0,109.0,1,4.0,2,41.3739218,2.128661,1,9.0
139,4,1300.0,65.0,1,2.0,1,41.3943666,2.1420246,1,20.0
140,0,1000.0,70.0,1,2.0,1,41.43489,2.17532,1,14.0
141,2,900.0,95.0,1,4.0,1,41.3725875,2.0843113,1,9.0
142,0,1490.0,88.0,0,2.0,2,41.3789506,2.0621561,0,17.0
144,0,880.0,75.0,1,3.0,1,41.3672843,2.0809532,0,12.0
145,5,800.0,60.0,1,1.0,1,41.3842353,2.1829276,0,13.0
146,0,2400.0,187.0,0,4.0,3,41.3851216,2.084118,0,13.0
147,2,900.0,33.0,0,1.0,1,41.3789617,2.1898352,0,27.0
148,4,1300.0,115.0,1,3.0,2,41.2328686,1.8040505,1,11.0
149,3,800.0,45.0,1,2.0,1,41.4023633,2.2012242,1,18.0
150,3,680.0,130.8,1,4.0,2,41.543551,2.1120738,1,5.0
151,1,980.0,66.0,1,3.0,1,41.389853,2.1899618,1,15.0
153,0,2400.0,150.0,1,2.0,2,41.3981095,2.1577934,0,16.0
154,4,850.0,65.0,1,1.0,1,41.3791611,2.1744399,1,13.0
155,0,900.0,107.0,0,4.0,2,41.5473061,2.4425861,1,8.0
156,3,5000.0,400.0,0,6.0,4,41.4586594,2.0454161,0,13.0
157,3,700.0,68.0,1,2.0,1,41.4520559,2.2258888,0,10.0
158,1,650.0,55.0,1,1.0,1,41.2525508,1.9009792,0,12.0
159,4,700.0,60.0,1,2.0,1,41.30415,1.99891,0,12.0
160,1,800.0,45.0,0,0.0,1,41.4077614,2.1764308,1,18.0
161,1,2400.0,150.0,0,0.0,2,41.398079,2.1599478,1,16.0
162,5,5100.0,220.0,1,3.0,3,41.4023799,2.1451586,1,23.0
163,2,1250.0,95.0,1,3.0,2,41.4791399,2.0643565,1,13.0
164,5,1050.0,90.0,0,3.0,2,41.3860689,2.142006,1,12.0
165,9,700.0,70.0,1,3.0,1,41.4153861,2.1602633,1,10.0
166,1,1700.0,92.0,1,2.0,2,41.4026866,2.124357,1,18.0
169,2,1300.0,80.0,1,2.0,1,41.3923278,2.1546329,1,16.0
170,1,980.0,70.0,1,3.0,1,41.393853,2.1918618,1,14.0
171,5,1500.0,110.0,1,2.0,1,41.4082277,2.1521047,1,14.0
172,8,675.0,61.0,1,3.0,1,41.4177986,2.2133393,1,11.0
174,1,720.0,65.0,1,3.0,1,41.3616024,2.0985945,1,11.0
175,1,850.0,50.0,1,1.0,1,41.3978528,2.1254488,1,17.0
176,0,1300.0,78.0,1,2.0,1,41.3826253,2.0662942,1,17.0
177,1,800.0,60.0,1,2.0,1,41.4093021,2.1746185,1,13.0
178,3,975.0,93.0,0,3.0,1,41.385132,2.1439847,1,10.0
179,1,875.0,99.0,1,3.0,2,41.5682199,2.22452,1,9.0
180,6,1200.0,57.0,1,1.0,1,41.3904284,2.1409661,1,21.0
181,3,700.0,52.0,1,2.0,1,41.3627536,2.1328433,1,13.0
182,0,2800.0,280.0,0,5.0,3,41.4319258,2.1038491,0,10.0
183,6,2550.0,72.0,1,2.0,2,41.4000584,2.2081091,1,35.0
184,1,800.0,80.0,1,3.0,1,41.4001209,2.1804143,1,10.0
185,1,1500.0,110.0,1,3.0,2,41.3751165,2.1756307,1,14.0
186,0,900.0,61.0,1,3.0,1,41.3855811,2.135579,1,15.0
187,3,1650.0,130.0,1,3.0,3,41.2682065,1.944399,1,13.0
188,0,2200.0,288.0,0,5.0,3,41.5676523,2.4380677,0,8.0
190,2,1350.0,119.0,1,3.0,2,41.39621,2.1668298,1,11.0
191,2,850.0,83.0,1,3.0,2,41.4142824,2.1802637,1,10.0
192,1,850.0,75.0,1,3.0,1,41.4072398,2.1496889,1,11.0
194,3,1300.0,80.0,1,3.0,1,41.4208762,2.2100944,1,16.0
195,0,1200.0,125.0,1,2.0,1,41.4059912,2.1604229,0,10.0
196,1,800.0,45.0,1,1.0,2,41.4076778,2.1755669,1,18.0
197,6,1900.0,210.0,1,4.0,3,41.4091283,2.1349964,1,9.0
198,1,650.0,79.0,1,3.0,2,41.69171,2.28774,1,8.0
199,4,1600.0,90.0,1,2.0,2,41.4048287,2.1602865,1,18.0
200,5,1300.0,110.0,1,3.0,2,41.39122,2.13869,1,12.0
201,2,825.0,85.0,0,4.0,2,41.4143607,2.1803845,1,10.0
202,0,850.0,120.0,0,3.0,2,41.6233741,2.2691141,0,7.0
204,0,2000.0,240.0,0,4.0,3,41.4308371,2.1885962,0,8.0
205,4,1000.0,70.0,1,2.0,2,41.4087419,2.1599251,1,14.0
207,1,1300.0,60.0,1,2.0,1,41.3943752,2.155771,1,22.0
208,3,1525.0,110.0,1,4.0,2,41.3769733,2.1199827,1,14.0
