propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,newDevelopment,tenantNumber,tenantGender,hasLift,isSmokingAllowed,priceByArea
34953237,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRBXp7qp3fRJhlGKUkl7o6H87R59KrIZdlNRig%2F%2B2CAkaenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-294357272,4,2,625.0,flat,rent,85.0,False,3,1,avenida de Barcelona,Barcelona,Molins de Rei,NaN,es,NaN,41.4092715,2.0216886,False,http://www.idealista.com/34953237,12504,False,False,NaN,NaN,False,NaN,7.0
34953217,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLhoW2uiEpKupv4GaFqGigd9x7wayT%2F5BWuwSoXaDlcCenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-958319950,22,1,890.0,flat,rent,70.0,True,2,1,"calle de Verdi, 319",Barcelona,Barcelona,Gràcia,es,Vallcarca i els Penitents,41.4115282,2.1494044,True,http://www.idealista.com/34953217,2104,False,False,NaN,NaN,False,NaN,13.0
34953135,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRKUl%2F6kqwJ5BfGkwAuHbW7X0tP6r4vSOoGn3KxYVkQgZenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=358869598,9,2,1150.0,flat,rent,60.0,True,2,1,passatge de Nogués,Barcelona,Barcelona,Gràcia,es,El Camp d'En Grassot i Gràcia Nova,41.4060608,2.167312,False,http://www.idealista.com/34953135,547,False,False,NaN,NaN,True,NaN,19.0
34953150,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRNlYFRoT%2FRKj2YAavckqXvY%2FxTDJJiqXjDztDhSgJl7IenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1370689142,23,3,1900.0,flat,rent,80.0,True,3,2,avenida del Paraŀlel,Barcelona,Barcelona,Sants-Montjuïc,es,El Poble Sec - Parc de Montjuïc,41.3762886,2.1662371,False,http://www.idealista.com/34953150,2908,True,False,NaN,NaN,True,NaN,24.0
34953086,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLF1UDXqzE%2FJuo6qoHAcmJfyk%2BkxPR51%2Bfl6uRPFuE3IenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-995777324,7,1,450.0,flat,rent,65.0,True,2,1,calle Santa Barbara,Barcelona,Barberà del Vallès,NaN,es,NaN,41.5157238,2.1259066,False,http://www.idealista.com/34953086,13181,False,False,NaN,NaN,False,NaN,7.0
26597714,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRE5QiGqGjttRUFS4XNRvHmH85dNEkqrISQZfFX%2Bf4v6sF253Rn1U%2BgVwmThMuemzO6lTXuPsG8pXa2GRM8cXx%2BdWd1WVpMNNdfu%2B3ZH4E00ZUWmN%2Fe64nMeHZOAUx7wi2Q%3D%3D&ch=1780377307,16,7,1800.0,flat,rent,103.0,True,3,2,"paseo Bonanoba, 97",Barcelona,Barcelona,Sarrià-Sant Gervasi,es,Les Tres Torres,41.4017785,2.1247653,True,http://www.idealista.com/26597714,3884,False,False,NaN,NaN,True,NaN,17.0
34953040,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRKhlH3HmFRgsvC4jrOYhK2GqYB0Tsu%2FkxwsOyMBXr2qwenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1938992397,17,3,1450.0,flat,rent,90.0,True,3,2,"calle d'aragó, 175",Barcelona,Barcelona,Eixample,es,L'Antiga Esquerra de l'Eixample,41.3869754,2.157967,True,http://www.idealista.com/34953040,2023,False,False,NaN,NaN,True,NaN,16.0
34953036,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRFPYfH25XMC3rjOt22Oe47%2B5VJ0XIYFl6aCUCzCDkn%2F3enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1063709581,11,NaN,1200.0,chalet,rent,220.0,False,4,2,Cabrils,Barcelona,Cabrils,NaN,es,NaN,41.5227306,2.3682032,False,http://www.idealista.com/34953036,21185,False,False,NaN,NaN,NaN,NaN,5.0
34953032,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRCWVad9T%2Fb2CDZvDFdNm%2BRpCZ5yALlwKIriaEGKRlsgFenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-2042185908,15,3,1400.0,duplex,rent,120.0,True,3,2,San Sebastian-Aiguadolç,Barcelona,Sitges,San Sebastian-Aiguadolç,es,NaN,41.2362576,1.8183063,False,http://www.idealista.com/34953032,34776,False,False,NaN,NaN,False,NaN,12.0
34952982,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRGcSf%2FEFwq3xkdOsKTUIAZSE7jd6%2BzOCiNB8XPmC%2BNglenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=2017995972,18,4,2650.0,flat,rent,200.0,True,4,3,paseo manuel girona,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,Sarrià,41.3943643,2.1287287,False,http://www.idealista.com/34952982,3657,False,False,NaN,NaN,True,NaN,13.0
