rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,priceperarea,type_chalet,type_chalet_independantHouse,type_chalet_semidetachedHouse,type_chalet_terracedHouse,type_flat,type_flat_duplex,type_flat_penthouse,type_flat_studio,good,newdevelopment,renew
3.0,2.0,1.0,1.0,85.0,2.0,2.1826744,41.4044052,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,0.0,1.0,85.0,3.0,2.1800748,41.4068466,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,61.0,3.0,2.2096388,41.4062048,1200.0,0.0,0.0,1059.8,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,0.0,52.0,1.0,2.1746088,41.3863658,750.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,0.0,90.0,1.0,2.1725038,41.3873121,1225.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,1.0,85.0,4.0,2.1819964,41.4065716,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,1.0,85.0,3.0,2.1837744,41.4061052,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,1.0,75.0,3.0,2.1633231,41.375409,850.0,0.0,0.0,765.6,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,0.0,65.0,1.0,2.1252489,41.3734713,1050.0,0.0,0.0,626.6,0,0,0,0,1,0,0,0,1,0,0
2.0,2.0,1.0,0.0,75.0,1.0,2.176414,41.3878883,1200.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,1.0,78.0,6.0,2.122123,41.3802297,1050.0,0.0,0.0,756.6,0,0,0,0,1,0,0,0,1,0,0
