,rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,0,chalet,flat,0,good,renew
57,4.0,2.0,1.0,0.0,90.0,1.0,2.1725038,41.3873121,1225.0,0.0,0.0,0,0,1,0,1,0
58,2.0,1.0,1.0,1.0,65.0,2.0,1.9818784,41.2695489,850.0,0.0,0.0,0,0,1,0,1,0
59,3.0,1.0,1.0,1.0,85.0,4.0,2.1819964,41.4065716,1200.0,0.0,0.0,0,0,1,0,1,0
60,3.0,1.0,1.0,1.0,85.0,3.0,2.1837744,41.4061052,1200.0,0.0,0.0,0,0,1,0,1,0
61,3.0,1.0,1.0,1.0,75.0,3.0,2.1633231,41.375409,850.0,0.0,0.0,0,0,1,0,1,0
62,3.0,1.0,1.0,0.0,65.0,1.0,2.1252489,41.3734713,1050.0,0.0,0.0,0,0,1,0,1,0
63,2.0,2.0,1.0,0.0,75.0,1.0,2.176414,41.3878883,1200.0,0.0,0.0,0,0,1,0,1,0
64,3.0,1.0,1.0,1.0,78.0,6.0,2.122123,41.3802297,1050.0,0.0,0.0,0,0,1,0,1,0
65,4.0,1.0,1.0,0.0,117.0,1.0,2.0317214,41.5594748,675.0,0.0,0.0,0,0,1,0,1,0
66,4.0,2.0,1.0,1.0,85.0,1.0,2.0091023,41.5687212,700.0,0.0,0.0,0,0,1,0,1,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
68,1.0,1.0,1.0,0.0,45.0,0.0,2.1593643,41.3712342,650.0,0.0,0.0,0,0,1,0,1,0
69,2.0,1.0,1.0,1.0,66.0,1.0,2.1886201,41.4317519,760.0,0.0,0.0,0,0,1,0,1,0
70,3.0,2.0,1.0,1.0,90.0,3.0,2.1801744,41.4084052,1200.0,0.0,0.0,0,0,1,0,1,0
71,3.0,2.0,1.0,1.0,90.0,3.0,2.1817744,41.4064052,1200.0,0.0,0.0,0,0,1,0,1,0
72,2.0,1.0,1.0,1.0,65.0,3.0,2.1862879,41.4069323,850.0,0.0,0.0,0,0,1,0,1,0
73,3.0,1.0,1.0,1.0,70.0,5.0,2.1229468,41.3802868,1000.0,0.0,0.0,0,0,1,0,1,0
74,2.0,1.0,1.0,0.0,50.0,4.0,2.1652311,41.3776291,830.0,0.0,0.0,0,0,1,0,1,0
75,3.0,2.0,1.0,1.0,100.0,6.0,2.1633256,41.4090251,1480.0,0.0,0.0,0,0,1,0,1,0
76,2.0,1.0,0.0,0.0,60.0,1.0,2.1810519,41.3852992,1450.0,0.0,0.0,0,0,1,0,1,0
77,2.0,1.0,1.0,1.0,59.0,2.0,2.1465437,41.3857099,1300.0,0.0,0.0,0,0,1,0,1,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
79,4.0,3.0,0.0,0.0,128.0,2.0,2.1378423,41.401357,3871.0,0.0,0.0,0,0,1,0,0,0
80,3.0,1.0,0.0,1.0,85.0,2.0,2.0002825,41.3982675,650.0,0.0,0.0,0,0,1,0,0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
87,3.0,1.0,0.0,1.0,100.0,3.0,2.1882281,41.3938181,1200.0,0.0,0.0,0,0,1,0,0,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
90,2.0,2.0,0.0,1.0,125.0,21.0,2.2170642,41.4074971,3000.0,0.0,0.0,0,0,1,0,0,0
91,4.0,2.0,0.0,1.0,188.0,8.0,2.154986,41.3963272,3150.0,0.0,0.0,0,0,1,0,0,0
92,2.0,2.0,0.0,1.0,70.0,5.0,2.1638546,41.377135,1500.0,0.0,0.0,0,0,1,0,0,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
94,2.0,2.0,0.0,1.0,84.0,1.0,2.1793249,41.3938901,1490.0,0.0,0.0,0,0,1,0,0,0
95,4.0,2.0,0.0,1.0,115.0,2.0,2.073661,41.4740199,1900.0,0.0,0.0,0,0,1,0,0,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
97,4.0,2.0,0.0,0.0,94.0,4.0,1.7813828,41.4394391,700.0,1.0,1.0,0,0,1,0,0,0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
99,3.0,1.0,0.0,1.0,65.0,3.0,2.1795032,41.3766099,1490.0,0.0,0.0,0,0,1,0,1,0
100,1.0,1.0,0.0,1.0,50.0,4.0,2.1724833,41.377257,980.0,0.0,0.0,0,0,1,0,1,0
101,3.0,2.0,0.0,1.0,120.0,3.0,2.2674623,41.4670803,1050.0,1.0,1.0,0,0,1,0,1,0
102,2.0,1.0,0.0,0.0,55.0,4.0,2.1667868,41.3810893,1200.0,0.0,0.0,0,0,1,0,1,0
103,3.0,2.0,0.0,1.0,130.0,2.0,2.1502501,41.4107034,1800.0,0.0,0.0,0,0,1,0,1,0
104,4.0,1.0,0.0,1.0,90.0,4.0,2.1648948,41.4323386,890.0,0.0,0.0,0,0,1,0,1,0
105,3.0,1.0,0.0,0.0,67.0,1.0,2.1500754,41.4122144,1100.0,0.0,0.0,0,0,1,0,1,0
106,2.0,1.0,0.0,0.0,77.0,3.0,2.120623,41.4002269,1050.0,0.0,0.0,0,0,1,0,1,0
107,4.0,2.0,0.0,1.0,140.0,5.0,2.1466642,41.3998241,2850.0,1.0,1.0,0,0,1,0,1,0
108,2.0,1.0,0.0,1.0,50.0,2.0,2.1445437,41.3897099,1300.0,0.0,0.0,0,0,1,0,1,0
109,4.0,3.0,0.0,0.0,360.0,0.0,1.75474,41.28918,2500.0,1.0,1.0,0,1,0,0,1,0
110,1.0,1.0,0.0,1.0,50.0,4.0,2.1696624,41.384382,950.0,0.0,0.0,0,0,1,0,1,0
111,5.0,4.0,0.0,1.0,320.0,5.0,2.1471543,41.3987919,4000.0,0.0,0.0,0,0,1,0,1,0
112,4.0,2.0,0.0,1.0,90.0,3.0,2.1515665,41.3844772,1200.0,0.0,0.0,0,0,1,0,1,0
113,4.0,2.0,0.0,1.0,85.0,7.0,2.1407549,41.40312,1450.0,0.0,0.0,0,0,1,0,1,0
114,3.0,1.0,0.0,1.0,100.0,3.0,2.1732575,41.3864669,1900.0,0.0,0.0,0,0,1,0,1,0
115,4.0,3.0,0.0,0.0,260.0,0.0,2.0240956,41.3180889,1600.0,1.0,1.0,0,1,0,0,1,0
116,2.0,2.0,0.0,1.0,77.0,1.0,2.0576825,41.3871294,970.0,1.0,1.0,0,0,1,0,1,0
117,2.0,1.0,0.0,0.0,85.0,2.0,2.0385842,41.340704,850.0,0.0,0.0,0,0,1,0,1,0
118,4.0,3.0,0.0,0.0,200.0,0.0,2.0136596,41.2652798,3000.0,1.0,1.0,0,1,0,0,1,0
119,3.0,1.0,0.0,1.0,70.0,3.0,2.2062475,41.4542365,780.0,0.0,0.0,0,0,1,0,1,0
120,4.0,2.0,0.0,1.0,200.0,3.0,2.0935589,41.3271312,1200.0,0.0,0.0,0,0,1,0,1,0
121,2.0,2.0,0.0,0.0,200.0,0.0,2.1639099,41.400856,2400.0,1.0,1.0,0,0,1,0,1,0
122,3.0,2.0,0.0,0.0,140.0,2.0,2.2774019,41.4783669,1200.0,0.0,0.0,0,0,1,0,1,0
