ID,propertyCode,thumbnail,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,district,neighborhood,latitude,longitude,showAddress,url,hasVideo,newDevelopment,hasLift,priceByArea
11,34953217,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLhoW2uiEpKupv4GaFqGigd9x7wayT%2F5BWuwSoXaDlcCenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-958319950,22,1,890,flat,70,1,2,1,Barcelona,Barcelona,GrÃ cia,Vallcarca i els Penitents,41.4115282,2.1494044,1,http://www.idealista.com/34953217,0,0,0,13
12,34953135,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRKUl%2F6kqwJ5BfGkwAuHbW7X0tP6r4vSOoGn3KxYVkQgZenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=358869598,9,2,1150,flat,60,1,2,1,Barcelona,Barcelona,GrÃ cia,El Camp d'En Grassot i GrÃ cia Nova,41.4060608,2.167312,0,http://www.idealista.com/34953135,0,0,1,19
13,34953150,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRNlYFRoT%2FRKj2YAavckqXvY%2FxTDJJiqXjDztDhSgJl7IenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1370689142,23,3,1900,flat,80,1,3,2,Barcelona,Barcelona,Sants-MontjuÃ¯c,El Poble Sec - Parc de MontjuÃ¯c,41.3762886,2.1662371,0,http://www.idealista.com/34953150,1,0,1,24
15,26597714,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRE5QiGqGjttRUFS4XNRvHmH85dNEkqrISQZfFX%2Bf4v6sF253Rn1U%2BgVwmThMuemzO6lTXuPsG8pXa2GRM8cXx%2BdWd1WVpMNNdfu%2B3ZH4E00ZUWmN%2Fe64nMeHZOAUx7wi2Q%3D%3D&ch=1780377307,16,7,1800,flat,103,1,3,2,Barcelona,Barcelona,SarriÃ -Sant Gervasi,Les Tres Torres,41.4017785,2.1247653,1,http://www.idealista.com/26597714,0,0,1,17
16,34953040,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRKhlH3HmFRgsvC4jrOYhK2GqYB0Tsu%2FkxwsOyMBXr2qwenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1938992397,17,3,1450,flat,90,1,3,2,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3869754,2.157967,1,http://www.idealista.com/34953040,0,0,1,16
17,34953036,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRFPYfH25XMC3rjOt22Oe47%2B5VJ0XIYFl6aCUCzCDkn%2F3enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1063709581,11,1000,1200,chalet,220,0,4,2,Barcelona,Cabrils,,,41.5227306,2.3682032,0,http://www.idealista.com/34953036,0,0,0,5
18,34953032,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRCWVad9T%2Fb2CDZvDFdNm%2BRpCZ5yALlwKIriaEGKRlsgFenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-2042185908,15,3,1400,duplex,120,1,3,2,Barcelona,Sitges,San Sebastian-AiguadolÃ§,,41.2362576,1.8183063,0,http://www.idealista.com/34953032,0,0,0,12
19,34952982,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRGcSf%2FEFwq3xkdOsKTUIAZSE7jd6%2BzOCiNB8XPmC%2BNglenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=2017995972,18,4,2650,flat,200,1,4,3,Barcelona,Barcelona,SarriÃ -Sant Gervasi,SarriÃ ,41.3943643,2.1287287,0,http://www.idealista.com/34952982,0,0,1,13
20,34952925,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHtbUlmNauA2E%2FB%2BKDzZVNi2OWzoHE7qFFiCvFUOaz%2BHenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1968022580,27,4,3000,flat,120,1,5,2,Barcelona,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,41.3832479,2.1835719,0,http://www.idealista.com/34952925,1,0,1,25
21,34952918,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRK1wDV1zNceugAra3vMKtA2oJ32MBtaQFLPnTNchdc18enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1911545990,10,2,2800,flat,190,1,5,2,Barcelona,Barcelona,Ciutat Vella,El GÃ_tic,41.3822373,2.1808029,0,http://www.idealista.com/34952918,1,0,0,15
22,34952837,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRBIt304N1zbEaVTYiMKa7pcgAi2l1xQmJp8yS00Ny444enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1502801271,27,1000,4500,chalet,750,0,7,6,Barcelona,Cabrils,,,41.52753,2.36815,0,http://www.idealista.com/34952837,0,0,0,6
23,34952854,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRAcNQICIH%2BA6yXuzAOwT8OkOJGF3vlmlYRa371EVytHyenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1363705293,14,1000,580,flat,88,0,2,1,Barcelona,Esparreguera,,,41.539997,1.8707429,1,http://www.idealista.com/34952854,0,1,1,7
24,33267148,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRNczAuMbWUblQb3uZcx9YYDvsD7Ua7om9FiaFRygLMP4enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1025906770,14,3,1575,flat,84,1,2,1,Barcelona,Barcelona,Horta GuinardÃ_,El Carmel,41.42129,2.15156,1,http://www.idealista.com/33267148,0,0,1,19
25,34952799,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLkGcqWXU9sSRUFIXb61qfd4%2BOKO2rHhVAWJQN%2FZM4yvenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1982909245,17,4,1350,flat,80,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3873881,2.1560198,0,http://www.idealista.com/34952799,0,0,1,17
26,34952770,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQREDYw0c2ULrngNIm%2BLcDOadZchlC1gXCeYPQSVkHvfKjenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1386085041,19,7,2000,penthouse,100,1,2,1,Barcelona,Barcelona,Eixample,El Fort Pienc,41.3990289,2.1750086,0,http://www.idealista.com/34952770,1,0,1,20
27,827226,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHC5kZ9Yb5JtjOw2024QjgC3JErF3CdWGwpjRlfLvOltvs8tNO0UI8ikumdrQdCL4%2BMuM7f6tB6QDkdjkELUP3WSBIg8D8Z11Ua26cdm8DZZ&ch=-425989093,15,1,850,flat,45,1,1,1,Barcelona,Barcelona,Ciutat Vella,El Raval,41.3868049,2.1702188,0,http://www.idealista.com/827226,1,0,0,19
28,34952765,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRPWbuTPynS9yNt%2FbofBe4m9VWrqrFicKtQvkh664v1isenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1410316289,20,2,2800,flat,200,1,3,2,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3965346,2.1651822,0,http://www.idealista.com/34952765,0,0,1,14
29,34952755,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRCxM2gS7Iuih1xJXsw%2FreH1%2FX9djdTZ1tbq%2Fo1BPAxT4enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-346927264,19,0,1200,duplex,58,1,1,2,Barcelona,Barcelona,Ciutat Vella,El Raval,41.3777585,2.1729066,1,http://www.idealista.com/34952755,0,0,0,21
30,32132033,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRNi1HasnrtFjpyQrDLBpVaeJKkCWRSohoYKvZJoCOHQpenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-482096795,15,2,1300,flat,75,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3937752,2.157771,0,http://www.idealista.com/32132033,0,0,0,17
31,34952717,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRIM2FrtzI2b1R3tuknPjKszPKrSg6E0gmvf9SJkiE5TienbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1500770450,6,1,1300,flat,80,1,2,1,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3944574,2.1556637,1,http://www.idealista.com/34952717,0,0,1,16
32,34952699,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHcAoW%2FnK00kPFuEq1fwMU1RtXGeGfew81OJOqqJpKSXenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1386379531,36,5,1200,flat,94,1,3,1,Barcelona,Barcelona,Eixample,La Sagrada FamÃ_lia,41.4051372,2.1773517,0,http://www.idealista.com/34952699,0,0,1,13
33,34952662,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQROM8LJfDYqLoPaHdBDXhzfzHYKrppTDk5Mc%2FKQ0LnxoGenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-216466765,21,5,4200,flat,260,1,7,2,Barcelona,Barcelona,GrÃ cia,Vila de GrÃ cia,41.4000228,2.1521945,0,http://www.idealista.com/34952662,1,0,1,16
34,34952648,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRIM2FrtzI2b1R3tuknPjKswmJ4qQ4f9BLqxXHGdRR0PKenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1290127925,15,2,750,flat,65,1,3,2,Barcelona,Barcelona,Ciutat Vella,El Raval,41.3759707,2.1711161,1,http://www.idealista.com/34952648,0,0,0,12
