propertyCode,externalReference,status,rooms,bathrooms,exterior,hasLift,size,floor,numPhotos,hasVideo,propertyType,typology,subTypology,newDevelopment,province,municipality,neighborhood,district,longitude,latitude,price,priceByArea,url,thumbnail,showAddress,subtitle,title,hasParkingSpace,isParkingSpaceIncludedInPrice
35154271.0,s4lv4__,good,2.0,1,1,0.0,53.0,1,10.0,0,flat,flat,,0,Barcelona,Barcelona,El Poble Sec - Parc de Montjuïc,Sants-Montjuïc,2.1638323,41.3734916,850.0,16.0,http://www.idealista.com/35154271,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRCIvktnjArKu8%2F4GmLzFGs2mfCfFByuVa9iBOtKmWhaQenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1255084032,0,"El Poble Sec - Parc de Montjuïc, Barcelona",Piso en calle de Salvà,0.0,0.0
35154278.0,03SEGLE XX,good,4.0,2,1,1.0,95.0,1,19.0,0,flat,flat,,0,Barcelona,Barcelona,El Guinardó,Horta Guinardó,2.1765351,41.4250718,900.0,9.0,http://www.idealista.com/35154278,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRKPVysTVrmepzoZd20dtx2vSqBYEBDtFnHJc8T4TcE%2FrenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=442217218,0,"El Guinardó, Barcelona",Piso en SEGLE XX,0.0,0.0
35154253.0,,good,1.0,1,0,1.0,45.0,4,11.0,0,flat,flat,,0,Barcelona,Barcelona,La Dreta de l'Eixample,Eixample,2.168053,41.3932245,1400.0,31.0,http://www.idealista.com/35154253,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRG5bC9Vr%2Bsg9Ig5zS%2BmMTcEngPRpsDlq4gBsauIsgVj0enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-972986099,0,"La Dreta de l'Eixample, Barcelona",Piso en calle de Pau Claris,0.0,0.0
35154223.0,Taquígraf Serra,good,3.0,1,1,1.0,95.0,4,9.0,0,flat,flat,,0,Barcelona,Barcelona,Les Corts,Les Corts,2.1295172,41.3854309,1500.0,16.0,http://www.idealista.com/35154223,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLhoW2uiEpKupv4GaFqGigeocVrNfxrRwn1euf%2BjZus6enbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-664533069,0,"Les Corts, Barcelona",Piso en calle Taquígraf Serra,0.0,0.0
30858746.0,151164,good,3.0,2,1,1.0,85.0,3,15.0,0,flat,flat,,0,Barcelona,Barcelona,La Sagrada Família,Eixample,2.1817744,41.4064052,1200.0,14.0,http://www.idealista.com/30858746,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRCadaMYXVxqH49A3lY9YY3eS60qQKKqIZWDNdX28woMyenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=55468371,1,"La Sagrada Família, Barcelona","Piso en valencia, 540",0.0,0.0
35154085.0,60002,good,1.0,1,1,1.0,60.0,1,20.0,1,flat,flat,,0,Barcelona,Barcelona,El Raval,Ciutat Vella,2.1747399,41.3811611,850.0,14.0,http://www.idealista.com/35154085,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRNFUf9ObED27%2Bpyks5h%2Fy1sGbXUebRUHs%2FzmEBIGwQPBenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-2020140296,0,"El Raval, Barcelona",Piso en calle Nou de la Rambla,0.0,0.0
35154075.0,,good,2.0,2,1,1.0,90.0,1,9.0,0,flat,flat,,0,Barcelona,Barcelona,El Raval,Ciutat Vella,2.1695705,41.37937,1200.0,13.0,http://www.idealista.com/35154075,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRGU3jYDENZfrnKcjShFABwq0f2RWMHtRoMqYqkYm68meenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=791479475,1,"El Raval, Barcelona","Piso en passatge de Bernardí Martorell, 5",0.0,0.0
35154040.0,N-30612,good,3.0,1,1,1.0,90.0,5,26.0,1,flat,flat,,0,Barcelona,Barcelona,El Clot,Sant Martí,2.1888432,41.4133902,990.0,11.0,http://www.idealista.com/35154040,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRIdUWQYXznnMGX5yQuRWmqTHDXsGWKHUDaZl1%2BfdA7DyenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-810831523,0,"El Clot, Barcelona",Piso en calle del Clot,0.0,0.0
35154049.0,2120,renew,2.0,1,0,0.0,70.0,1000,8.0,0,chalet,chalet,semidetachedHouse,0,Barcelona,Sabadell,Creu de Barberà,La Creu de Barberà - Avinguda - Eixample,2.1153866,41.525848,600.0,9.0,http://www.idealista.com/35154049,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRPDTNyd9Fl9WBZjORAEQ7uVKHhI4kq0tj6Xb49t1OSPBenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1023267992,0,"Creu de Barberà, Sabadell",Chalet pareado,0.0,0.0
35154048.0,1217,good,0.0,1,1,1.0,20.0,1,8.0,0,studio,flat,studio,0,Barcelona,Barcelona,L'Antiga Esquerra de l'Eixample,Eixample,2.1572756,41.3964551,595.0,30.0,http://www.idealista.com/35154048,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRLVjjETcw9QRrdnwol0kND59Iu5CGjnjSzkJzuZsuRzbenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=185899928,0,"L'Antiga Esquerra de l'Eixample, Barcelona",Estudio,0.0,0.0
